Unique_ID,Marathi,Urdu,Hindi,English,History,Science,Geography,Drawing,Sports,Environmental Studies,Math,Computer,Interest
stud_1,39,46,54,35,71,64,74,53,28,20,74,67,"History, Geography, Math"
stud_2,54,56,69,54,72,27,22,79,47,79,65,25,"History, Drawing, Environmental Studies"
stud_3,59,68,22,77,60,36,74,71,55,79,76,53,"English, Environmental Studies"
stud_4,31,61,40,25,26,61,78,22,38,76,24,60,"Geography, Environmental Studies"
stud_5,52,25,22,21,59,35,44,53,62,45,24,76,"Sports, Computer"
stud_6,68,27,60,51,60,60,80,51,65,50,29,57,"Marathi, Geography"
stud_7,35,33,31,31,77,42,45,63,33,37,57,54,"History, Drawing"
stud_8,53,46,79,43,50,51,64,26,30,64,50,41,"Hindi, Geography, Environmental Studies"
stud_9,49,55,64,35,23,47,49,37,68,30,21,47,"Hindi, Sports"
stud_10,37,42,67,66,75,23,66,52,77,72,72,65,"History, Sports"
stud_11,20,39,77,28,50,21,64,20,49,44,74,47,"Hindi, Math"
stud_12,63,41,57,30,55,38,59,32,23,49,73,61,"Marathi, Math"
stud_13,48,23,32,43,72,32,28,55,45,68,33,21,"History, Environmental Studies"
stud_14,61,78,59,77,69,45,56,69,43,20,42,47,"Urdu, English"
stud_15,78,68,27,69,55,74,72,34,25,63,74,35,"Marathi, Science, Math"
stud_16,77,71,54,73,50,55,53,24,52,50,66,30,"Marathi, English"
stud_17,72,40,57,59,23,80,29,20,58,26,49,31,"Marathi, Science"
stud_18,39,64,24,40,60,41,38,70,34,64,32,39,"Urdu, Drawing, Environmental Studies"
stud_19,20,39,46,35,33,24,77,39,55,52,40,76,"Geography, Computer"
stud_20,66,69,22,23,50,22,25,61,61,80,52,21,"Urdu, Environmental Studies"
stud_21,68,79,79,51,58,57,35,44,56,22,34,42,"Marathi, Urdu, Hindi"
stud_22,23,68,41,46,22,47,43,30,64,50,33,68,"Urdu, Sports, Computer"
stud_23,46,49,51,52,35,33,56,36,28,36,23,69,"Geography, Computer"
stud_24,49,28,70,29,26,72,66,64,64,74,27,20,"Science, Environmental Studies"
stud_25,46,41,43,49,41,40,32,61,28,27,28,71,"Drawing, Computer"
stud_26,60,66,30,41,40,50,57,48,27,70,73,62,"Environmental Studies, Math"
stud_27,70,62,50,75,31,32,30,67,37,51,27,25,"Marathi, English"
stud_28,73,72,27,48,55,51,21,79,44,44,78,67,"Drawing, Math"
stud_29,45,61,30,28,23,28,48,27,74,68,79,26,"Sports, Math"
stud_30,37,20,63,72,46,79,60,38,66,40,62,28,"English, Science"
stud_31,26,41,66,28,43,29,34,55,28,28,37,75,"Hindi, Computer"
stud_32,56,25,23,56,37,58,68,52,70,72,70,79,"Environmental Studies, Computer"
stud_33,39,49,41,73,56,30,76,44,44,54,35,66,"English, Geography"
stud_34,23,59,61,48,29,69,66,47,43,53,31,46,"Science, Geography"
stud_35,66,53,62,36,54,58,71,34,56,29,78,68,"Geography, Math"
stud_36,54,33,30,70,56,44,59,63,76,74,60,42,"Sports, Environmental Studies"
stud_37,20,71,57,79,25,33,38,25,39,36,54,42,"Urdu, English"
stud_38,55,76,41,64,54,23,24,46,76,33,56,31,"Urdu, English, Sports"
stud_39,51,30,23,59,65,27,53,27,66,47,56,20,"History, Sports"
stud_40,57,37,72,76,56,26,23,26,69,23,21,46,"Hindi, English"
stud_41,52,35,44,27,55,43,23,31,73,36,46,37,"History, Sports"
stud_42,66,46,40,28,50,77,63,30,80,66,70,62,"Science, Sports"
stud_43,40,36,53,52,52,53,74,45,21,26,43,71,"Geography, Computer"
stud_44,36,74,70,56,58,51,62,56,28,65,30,68,"Urdu, Hindi"
stud_45,59,76,75,52,64,73,61,64,69,76,26,45,"Urdu, Hindi, Environmental Studies"
stud_46,44,20,75,61,55,72,26,24,31,49,66,66,"Hindi, Science"
stud_47,33,53,23,69,30,78,23,43,59,51,38,40,"English, Science"
stud_48,73,73,52,64,67,70,75,37,64,75,69,55,"Marathi, Urdu, Geography, Environmental Studies"
stud_49,49,23,54,70,21,62,65,37,53,29,61,34,"English, Geography"
stud_50,71,59,39,46,71,31,44,73,41,26,71,60,"Marathi, History, Drawing, Math"
stud_51,67,22,78,58,22,46,70,32,47,52,59,26,"Hindi, Geography"
stud_52,49,26,61,60,31,58,41,34,33,65,59,31,"Hindi, Environmental Studies"
stud_53,71,24,50,29,66,74,26,73,36,58,45,61,"Science, Drawing"
stud_54,48,50,47,25,64,62,63,50,35,63,54,27,"History, Geography, Environmental Studies"
stud_55,33,23,74,68,60,33,72,29,50,61,68,61,"Hindi, Geography"
stud_56,21,30,29,73,43,43,23,48,57,62,33,29,"English, Environmental Studies"
stud_57,49,31,73,64,51,22,76,76,58,65,70,36,"Hindi, Geography, Drawing"
stud_58,27,50,51,80,52,68,51,64,79,41,43,72,"English, Sports"
stud_59,29,51,31,35,50,56,20,77,47,28,80,74,"Drawing, Math"
stud_60,47,37,46,22,62,63,72,60,48,31,56,33,"Science, Geography"
stud_61,54,47,29,65,37,57,77,66,68,33,59,53,"Geography, Sports"
