Unique_ID,Marathi,Urdu,Hindi,English,History,Science,Geography,Drawing,Sports,Environmental Studies,Math,Computer,Interest
stud_1,25,33,33,83,63,13,20,92,99,45,99,71,"Drawing, Sports, Math"
stud_2,52,58,64,24,34,20,43,89,89,20,56,31,"Hindi, Drawing, Sports"
stud_3,76,24,94,29,91,10,28,86,52,14,12,62,"Hindi, History"
stud_4,41,70,81,98,74,13,40,56,25,36,35,64,"Hindi, English"
stud_5,88,54,49,78,2,11,90,80,89,37,64,91,"Geography, Computer"
stud_6,74,42,76,35,93,15,33,78,10,27,31,64,"History, Drawing"
stud_7,92,81,91,44,36,8,59,77,84,45,61,68,"Marathi, Hindi"
stud_8,94,1,73,47,19,22,71,80,87,58,18,49,"Marathi, Sports"
stud_9,100,31,16,63,6,51,17,79,12,24,92,21,"Marathi, Math"
stud_10,79,76,25,67,4,65,59,64,67,50,9,28,"Marathi, Urdu"
stud_11,43,8,76,8,22,79,33,60,18,40,1,53,"Hindi, Science"
stud_12,72,38,81,3,81,24,56,91,27,41,55,6,"Hindi, History, Drawing"
stud_13,54,21,47,15,31,64,63,8,93,36,13,33,"Science, Sports"
stud_14,89,23,71,28,84,30,82,41,49,89,96,52,"Marathi, Environmental Studies, Math"
stud_15,35,86,100,90,6,94,57,99,88,20,64,55,"Hindi, Drawing"
stud_16,44,72,96,35,1,23,85,85,26,33,41,24,"Hindi, Geography, Drawing"
stud_17,57,92,34,90,79,25,88,17,61,32,61,40,"Urdu, English"
stud_18,32,26,17,40,60,1,75,64,86,98,30,83,"Sports, Environmental Studies"
stud_19,19,36,100,77,99,42,83,20,46,42,100,13,"Hindi, History, Math"
stud_20,55,77,2,74,42,17,48,9,80,30,84,31,"Sports, Math"
stud_21,28,76,12,92,68,78,22,77,88,73,81,45,"English, Sports"
stud_22,44,66,97,39,28,67,7,4,18,23,42,70,"Hindi, Computer"
stud_23,35,93,48,66,28,77,73,87,59,80,6,22,"Urdu, Drawing"
stud_24,71,18,84,73,69,16,17,86,27,71,28,4,"Hindi, Drawing"
stud_25,12,50,51,28,47,4,2,97,61,82,47,90,"Drawing, Computer"
stud_26,76,88,40,1,31,1,83,27,81,3,17,60,"Urdu, Geography"
stud_27,52,24,1,16,51,54,31,16,16,87,33,71,"Environmental Studies, Computer"
stud_28,94,88,52,59,98,64,33,99,12,93,70,18,"History, Drawing"
stud_29,88,27,51,45,79,34,81,9,57,76,73,78,"Marathi, Geography"
stud_30,67,21,99,50,32,73,17,54,34,45,41,55,"Hindi, Science"
stud_31,95,54,67,51,93,92,86,66,24,7,67,48,"Marathi, History"
stud_32,27,85,89,15,7,29,56,26,89,65,20,97,"Hindi, Sports, Computer"
stud_33,69,63,40,99,5,7,28,80,18,85,99,43,"English, Environmental Studies, Math"
stud_34,79,80,89,96,83,33,39,55,20,58,68,94,"English, Computer"
stud_35,28,84,24,20,100,9,93,62,27,27,21,2,"History, Geography"
stud_36,30,34,57,62,59,81,17,63,93,90,23,41,"Sports, Environmental Studies"
stud_37,1,35,31,18,77,7,97,6,68,16,23,68,"History, Geography"
stud_38,22,33,42,3,75,30,78,86,85,79,39,47,"Drawing, Sports"
stud_39,11,50,2,2,65,11,84,3,24,82,79,93,"Geography, Computer"
stud_40,55,59,40,99,98,95,65,92,27,89,40,31,"English, History"
stud_41,21,17,77,63,32,100,14,39,24,57,10,61,"Hindi, Science"
stud_42,68,9,65,78,37,6,55,40,85,23,99,22,"Sports, Math"
stud_43,81,76,63,23,56,1,41,93,99,10,32,44,"Drawing, Sports"
stud_44,55,11,93,38,56,31,41,17,48,82,63,33,"Hindi, Environmental Studies"
stud_45,12,76,31,95,94,1,71,97,38,54,94,80,"English, Drawing"
stud_46,4,14,27,84,77,2,25,65,61,99,48,20,"English, Environmental Studies"
stud_47,8,72,51,37,17,69,45,82,61,25,61,78,"Drawing, Computer"
stud_48,78,86,76,56,38,13,94,82,70,62,43,5,"Urdu, Geography"
stud_49,39,31,33,79,5,32,59,70,60,12,99,16,"English, Math"
stud_50,50,16,42,100,94,69,74,42,88,38,47,59,"English, History"
stud_51,100,69,61,80,63,80,4,38,30,98,28,49,"Marathi, Environmental Studies"
stud_52,87,83,12,66,51,72,77,96,3,98,79,39,"Drawing, Environmental Studies"
stud_53,97,55,28,23,21,99,38,21,32,39,15,66,"Marathi, Science"
stud_54,92,97,56,23,28,82,18,41,41,84,70,93,"Urdu, Computer"
stud_55,87,7,6,45,26,29,11,92,46,34,79,52,"Marathi, Drawing"
stud_56,16,83,68,71,17,61,74,42,31,36,71,55,"Urdu, Geography"
stud_57,10,82,24,74,11,9,6,74,37,51,100,21,"Urdu, Math"
stud_58,56,21,84,83,96,17,78,32,43,29,16,49,"Hindi, History"
stud_59,47,32,95,28,99,96,67,42,3,68,88,86,"History, Science"
stud_60,97,56,52,29,100,87,31,9,18,71,26,93,"Marathi, History"
stud_61,57,98,62,79,58,27,1,98,87,56,18,70,"Urdu, Drawing, Sports"
stud_62,40,34,9,61,6,98,86,47,49,22,94,64,"Science, Math"
stud_63,100,54,87,88,37,54,25,42,44,11,54,64,"Marathi, English"
stud_64,89,29,68,4,4,44,75,29,68,89,92,66,"Marathi, Environmental Studies, Math"
stud_65,73,95,49,58,3,91,41,71,100,14,11,6,"Urdu, Sports"
stud_66,39,2,89,43,90,26,49,89,90,98,88,8,"History, Sports, Environmental Studies"
stud_67,62,56,57,50,64,44,20,79,95,22,80,27,"Sports, Math"
stud_68,9,14,83,23,90,23,26,38,78,49,18,58,"Hindi, History"
stud_69,71,31,47,33,10,92,90,18,15,48,16,92,"Science, Geography, Computer"
stud_70,42,15,80,57,77,15,14,95,100,55,23,46,"Drawing, Sports"
stud_71,62,83,27,98,95,37,85,20,74,40,82,59,"English, History"
stud_72,46,38,38,47,77,90,35,44,43,73,57,51,"History, Science"
stud_73,8,79,50,22,82,30,79,100,81,51,74,34,"History, Drawing"
stud_74,52,46,34,52,15,69,20,58,72,99,99,42,"Sports, Environmental Studies, Math"
stud_75,100,70,19,63,21,17,5,27,52,89,27,85,"Marathi, Environmental Studies"
stud_76,1,99,77,62,97,6,78,93,4,29,20,60,"Urdu, History"
stud_77,11,86,9,91,39,91,48,98,89,33,87,56,"English, Science, Drawing"
stud_78,21,24,71,56,30,13,27,83,41,2,4,36,"Hindi, Drawing"
stud_79,70,93,3,65,84,90,22,74,2,87,82,80,"Urdu, Science"
stud_80,89,17,79,75,98,55,55,59,90,94,77,47,"History, Environmental Studies"
stud_81,92,82,85,13,90,62,46,32,94,36,99,92,"Sports, Math"
stud_82,13,67,49,54,61,1,98,54,32,62,54,100,"Geography, Computer"
stud_83,90,99,45,93,48,85,50,97,91,59,15,27,"Urdu, Drawing"
stud_84,91,1,56,60,28,34,31,55,82,47,94,2,"Marathi, Math"
stud_85,39,20,14,57,15,58,34,26,17,47,11,2,"English, Science"
stud_86,63,64,57,17,44,65,73,83,24,44,60,67,"Geography, Drawing"
stud_87,3,96,67,49,28,60,95,92,73,67,67,21,"Urdu, Geography"
stud_88,88,78,18,52,60,50,73,20,52,19,45,11,"Marathi, Urdu"
stud_89,26,17,24,8,97,96,67,13,55,3,47,84,"History, Science"
stud_90,60,23,26,67,40,52,28,87,15,18,86,68,"Drawing, Math"
stud_91,35,40,54,56,76,51,49,63,33,25,70,28,"History, Math"
stud_92,35,39,88,38,46,53,11,9,84,64,52,69,"Hindi, Sports"
stud_93,62,77,3,63,19,94,91,49,71,46,26,40,"Science, Geography"
stud_94,85,73,4,36,15,99,9,57,40,92,57,57,"Science, Environmental Studies"
stud_95,71,56,2,8,30,37,27,16,39,5,10,83,"Marathi, Computer"
stud_96,58,76,75,18,42,55,28,84,15,39,33,98,"Drawing, Computer"
stud_97,94,86,36,71,21,52,73,21,71,56,5,43,"Marathi, Urdu"
stud_98,12,54,5,69,92,7,56,23,93,61,97,94,"Math, Computer"
stud_99,23,56,54,22,12,18,24,62,7,24,83,66,"Math, Computer"
stud_100,36,24,58,9,12,64,60,99,8,10,59,98,"Drawing, Computer"
stud_101,20,83,88,71,32,63,96,67,32,84,86,19,"Hindi, Geography"
stud_102,40,55,9,9,9,10,64,59,12,24,49,54,"Geography, Drawing"
stud_103,8,26,16,37,57,30,23,90,68,80,29,99,"Drawing, Computer"
stud_104,89,42,71,69,60,57,96,11,66,12,15,9,"Marathi, Geography"
stud_105,5,85,75,45,85,35,27,97,70,69,98,28,"Drawing, Math"
stud_106,65,91,92,93,82,46,68,11,75,24,96,56,"English, Math"
stud_107,66,4,25,20,69,76,60,90,13,96,7,48,"Drawing, Environmental Studies"
stud_108,16,40,5,8,58,99,97,28,34,87,64,90,"Science, Geography"
stud_109,8,74,18,96,48,4,82,35,12,33,30,89,"English, Computer"
stud_110,50,5,7,59,42,30,31,71,9,50,78,89,"Math, Computer"
stud_111,76,100,68,49,41,60,38,18,43,35,41,51,"Marathi, Urdu"
stud_112,6,16,1,4,49,2,81,37,93,51,86,29,"Sports, Math"
stud_113,13,14,14,51,76,32,34,8,97,100,40,10,"Sports, Environmental Studies"
stud_114,96,8,59,98,6,95,52,79,41,100,95,28,"English, Environmental Studies"
stud_115,90,12,100,30,89,25,38,81,46,39,100,37,"Marathi, Hindi, Math"
stud_116,48,79,2,100,6,20,95,41,92,16,77,13,"English, Geography"
stud_117,24,20,84,22,39,30,39,18,14,47,83,68,"Hindi, Math"
stud_118,10,43,67,96,82,95,55,93,7,55,34,68,"English, Science"
stud_119,32,39,31,83,84,85,4,63,15,49,67,99,"Science, Computer"
stud_120,21,46,76,92,88,57,26,61,37,92,71,99,"English, Environmental Studies, Computer"
stud_121,41,62,19,44,75,72,82,82,93,47,49,60,"Geography, Drawing, Sports"
stud_122,29,65,11,78,82,20,38,97,72,11,54,23,"History, Drawing"
stud_123,58,9,90,38,34,57,79,10,70,36,78,68,"Hindi, Geography"
stud_124,27,16,90,40,74,4,77,71,81,21,67,71,"Hindi, Sports"
stud_125,35,81,63,92,74,97,48,64,54,16,75,45,"English, Science"
stud_126,60,26,61,86,70,81,56,12,4,69,13,25,"English, Science"
stud_127,58,69,42,92,12,51,53,45,79,28,30,99,"English, Computer"
stud_128,91,98,42,70,83,18,88,86,18,38,62,43,"Marathi, Urdu"
stud_129,41,41,66,50,62,76,16,81,83,32,28,53,"Drawing, Sports"
stud_130,91,23,35,5,11,17,43,86,83,58,45,70,"Marathi, Drawing"
stud_131,42,57,84,96,67,64,55,14,89,84,66,47,"English, Sports"
stud_132,77,58,45,77,9,24,45,26,83,22,93,49,"Sports, Math"
stud_133,3,83,98,17,97,92,12,3,61,94,93,12,"Hindi, History"
stud_134,45,19,13,53,35,61,81,26,89,51,49,29,"Geography, Sports"
stud_135,9,18,19,66,50,6,83,1,13,43,12,48,"English, Geography"
stud_136,72,58,5,93,27,17,68,48,100,55,29,45,"English, Sports"
stud_137,35,6,50,63,22,24,90,75,71,93,46,71,"Geography, Environmental Studies"
stud_138,75,50,76,91,38,87,71,38,64,1,9,62,"English, Science"
stud_139,70,1,83,90,47,72,73,38,67,32,25,23,"Hindi, English"
stud_140,89,100,34,23,35,55,39,21,45,62,74,71,"Marathi, Urdu"
stud_141,81,16,31,56,54,54,96,79,91,69,43,20,"Geography, Sports"
stud_142,100,11,24,97,40,81,96,5,53,19,62,85,"Marathi, English"
