Unique_ID,Marathi_Overall_Growth,Urdu_Overall_Growth,Hindi_Overall_Growth,English_Overall_Growth,History_Overall_Growth,Science_Overall_Growth,Geography_Overall_Growth,Drawing_Overall_Growth,Sports_Overall_Growth,Environmental Studies_Overall_Growth,Math_Overall_Growth,Computer_Overall_Growth,Algebra_Overall_Growth,Geometry_Overall_Growth,Defence_Overall_Growth
stud_1,6.4,-3.6,12.6,-0.8,-2.2,14.4,1.8,-11.2,-12.2,-7.4,-12.666666666666666,-1.2,11.0,-78.0,49.0
stud_2,-5.2,-7.0,7.0,10.2,6.0,4.8,-5.8,-2.8,-10.2,-1.8,10.0,13.4,19.0,61.0,56.0
stud_3,0.2,10.8,-9.8,12.4,-2.8,2.8,3.8,-17.0,-0.2,14.6,8.666666666666666,-4.0,-13.0,8.0,-3.0
stud_4,-1.4,-2.4,-10.0,-15.4,-4.6,14.0,-3.4,4.8,-0.6,8.4,10.0,2.8,85.0,-7.0,-2.0
stud_5,-10.0,-6.6,-5.8,4.0,14.6,2.0,-8.0,-9.0,-3.4,5.4,-10.0,-11.0,24.0,-81.0,-23.0
stud_6,-3.2,-0.4,-0.8,11.2,-8.6,2.2,-3.8,-4.0,6.4,13.0,12.333333333333334,-5.6,32.0,-34.0,-35.0
stud_7,-3.4,-11.8,-8.6,-2.8,3.2,16.4,-4.4,-14.6,-15.2,-3.0,3.3333333333333335,-9.0,6.0,37.0,-20.0
stud_8,-4.6,12.6,2.4,-9.2,7.8,-3.6,-2.8,-8.4,-2.4,-5.8,25.666666666666668,7.2,8.0,-19.0,7.0
stud_9,-18.4,-4.8,3.2,-10.6,8.6,-1.2,1.0,-7.6,-1.4,-4.2,-2.0,8.2,19.0,-7.0,57.0
stud_10,-3.4,4.6,5.6,6.2,18.0,1.2,-4.8,-11.0,-1.8,-4.4,16.333333333333332,-2.2,-83.0,-50.0,-32.0
stud_11,5.8,14.2,-6.4,17.6,7.0,-15.4,12.2,6.6,11.0,3.8,18.333333333333332,-9.2,-86.0,-52.0,-34.0
stud_12,3.2,10.0,-12.4,5.2,-6.6,2.0,8.6,-5.2,5.6,2.0,-4.333333333333333,8.6,11.0,-78.0,-29.0
stud_13,-6.0,12.8,-8.8,2.8,6.0,-9.6,-0.8,11.4,-5.0,-3.4,0.0,2.0,15.0,-15.0,84.0
stud_14,0.0,9.4,-5.2,12.6,-15.8,6.0,-9.4,4.4,-9.2,-1.2,-2.3333333333333335,-3.6,-4.0,60.0,20.0
stud_15,-0.4,0.2,-6.6,-11.0,2.8,-12.6,0.2,-7.2,-10.6,5.6,-0.6666666666666666,-9.6,63.0,-55.0,-9.0
stud_16,-3.4,-1.8,-5.8,2.0,16.4,1.0,-12.8,-11.8,10.8,-5.0,13.333333333333334,14.4,-89.0,15.0,22.0
stud_17,8.6,1.0,9.0,-5.4,-2.8,8.4,-17.0,7.6,4.2,-0.6,6.666666666666667,6.6,-49.0,-66.0,-36.0
stud_18,1.6,-2.6,14.4,-6.6,3.4,15.8,1.4,-7.4,-16.4,-9.6,8.666666666666666,-13.2,13.0,50.0,21.0
stud_19,-3.2,-5.4,-12.6,-4.8,-10.0,3.0,-11.2,2.6,5.6,2.2,-2.0,9.8,-48.0,28.0,-60.0
stud_20,-7.0,-1.6,15.2,-12.4,11.6,12.4,3.8,-0.4,-9.8,8.2,4.333333333333333,6.6,43.0,11.0,85.0
stud_21,10.8,-3.4,-0.4,-14.0,-10.2,-3.6,-1.6,-4.6,-9.4,2.2,-25.666666666666668,3.8,-15.0,3.0,77.0
stud_22,-6.8,5.6,-4.8,-5.4,13.0,5.6,14.0,7.0,8.4,0.4,0.0,-8.8,1.0,36.0,-34.0
stud_23,0.0,-11.6,7.8,-3.2,2.8,-14.0,-14.2,-15.6,-7.8,0.4,16.333333333333332,5.8,15.0,-20.0,-59.0
stud_24,-11.0,7.8,-10.4,-6.4,5.2,12.8,3.0,-16.4,11.6,3.2,-3.0,3.8,-14.0,-5.0,1.0
stud_25,7.0,-2.2,3.8,9.2,-7.2,0.6,12.6,0.4,-2.8,-5.4,3.6666666666666665,-13.2,-20.0,-6.0,49.0
stud_26,0.0,-3.6,5.0,8.0,2.8,9.8,-4.8,-1.6,-9.4,7.4,2.0,1.0,86.0,62.0,26.0
stud_27,0.8,11.2,9.4,3.6,-5.4,0.4,9.6,-0.6,2.0,-4.2,21.0,-1.8,39.0,-17.0,-23.0
stud_28,1.2,2.2,-6.2,5.4,-6.2,3.8,8.2,-13.4,11.8,-14.4,4.0,13.0,9.0,49.0,68.0
stud_29,-13.6,5.0,-3.6,-6.8,-2.4,3.8,0.2,7.4,-8.0,-3.8,8.666666666666666,-3.8,-27.0,11.0,50.0
stud_30,6.2,13.0,-1.6,3.2,2.4,5.0,-2.8,-6.0,9.8,-3.6,-5.333333333333333,6.2,33.0,31.0,-1.0
stud_31,-6.4,5.4,3.4,5.6,-15.6,-1.2,-14.2,-3.6,13.2,1.6,-21.0,-8.6,-47.0,63.0,-67.0
stud_32,2.2,-14.2,-6.4,14.6,16.6,-5.6,-9.6,6.4,1.4,-8.6,0.6666666666666666,-16.2,-82.0,-5.0,6.0
stud_33,-3.4,3.6,2.8,-1.8,14.0,11.4,12.0,-8.4,3.8,1.0,-9.666666666666666,3.2,55.0,91.0,54.0
stud_34,0.0,-7.4,-6.6,-13.0,-14.4,1.0,11.0,7.0,-1.8,-5.2,6.333333333333333,-11.4,51.0,-29.0,-12.0
stud_35,-4.6,3.2,-3.6,-3.2,-8.4,2.8,-8.6,-5.2,12.0,-3.4,10.333333333333334,15.2,-45.0,15.0,-4.0
stud_36,13.2,11.2,-4.0,-2.4,4.6,-9.4,-3.0,5.4,-5.4,-5.8,-7.333333333333333,10.8,-52.0,95.0,24.0
