Unique_ID,Interest_5th,Interest_6th,Final_Interests,Interest,Final_Interests_7th,Interest_8th,Final_Interests_8th,Interest_9th,Final_Interests_9th,Interest_10th,Final_Interests_10th
stud_1,"Drawing, Sports, Math","History, Geography, Math","Geography, History, Math","Marathi, Hindi, History, Geography, Math, Computer","Computer, Geography, Hindi, History, Marathi, Math","Marathi, English, History","English, History, Marathi","Environmental Studies, Geometry","English, Environmental Studies, Geometry, History, Marathi","Hindi, Science, Sanskrit","English, Environmental Studies, Geometry, Hindi, History, Marathi, Sanskrit, Science"
stud_2,"Hindi, Drawing, Sports","History, Drawing, Environmental Studies","Drawing, Environmental Studies, History","Urdu, Science, Drawing, Sports, Environmental Studies","Drawing, Environmental Studies, Science, Sports, Urdu","Urdu, History, Math","History, Math, Urdu","Hindi, English, Environmental Studies","English, Environmental Studies, Hindi, History, Math, Urdu","Hindi, Geometry, Computer","Computer, Geometry, Hindi"
stud_3,"Hindi, History","English, Environmental Studies","English, Environmental Studies, Hindi, History","English, Science, Environmental Studies, Math, Computer","Computer, English, Environmental Studies, Math, Science","Urdu, English, Science","English, Science, Urdu","Marathi, Environmental Studies, Algebra, Computer","Algebra, Computer, English, Environmental Studies, Marathi, Science, Urdu","English, Environmental Studies, Algebra","Algebra, English, Environmental Studies"
stud_4,"Hindi, English","Geography, Environmental Studies","English, Environmental Studies, Geography, Hindi","Urdu, Science, Geography, Drawing, Environmental Studies","Drawing, Environmental Studies, Geography, Science, Urdu","English, Drawing, Environmental Studies","Drawing, English, Environmental Studies","Drawing, Sports, Defence","Defence, Drawing, Sports","Algebra, Defence","Algebra, Defence"
stud_5,"Geography, Computer","Sports, Computer","Computer, Sports","Sports, Computer","Computer, Sports","Marathi, Urdu, Drawing","Computer, Drawing, Marathi, Sports, Urdu","Marathi, Geometry","Geometry, Marathi","English, History","English, Geometry, History, Marathi"
stud_6,"History, Drawing","Marathi, Geography","Drawing, Geography, History, Marathi","Marathi, Geography","Geography, Marathi","Urdu, Environmental Studies","Environmental Studies, Geography, Marathi, Urdu","Urdu, Hindi, Geometry","Geometry, Hindi, Urdu","English, Environmental Studies","English, Environmental Studies, Geometry, Hindi, Urdu"
stud_7,"Marathi, Hindi","History, Drawing","Drawing, Hindi, History, Marathi","History, Drawing","Drawing, History","English, History","English, History","Science, Geography","English, Geography, History, Science","Science, Geometry","Geometry, Science"
stud_8,"Marathi, Sports","Hindi, Geography, Environmental Studies","Environmental Studies, Geography, Hindi, Marathi, Sports","Hindi, Geography, Environmental Studies","Environmental Studies, Geography, Hindi","Hindi, History, Math","Hindi, History, Math","Drawing, Environmental Studies, Geometry","Drawing, Environmental Studies, Geometry, Hindi, History, Math","Hindi, Geometry, Computer","Computer, Geometry, Hindi"
stud_9,"Marathi, Math","Hindi, Sports","Hindi, Marathi, Math, Sports","Hindi, Sports","Hindi, Sports","Drawing, Math","Drawing, Hindi, Math, Sports","English, Environmental Studies, Computer","Computer, Drawing, English, Environmental Studies, Hindi, Math, Sports","Computer, Defence","Computer, Defence"
stud_10,"Marathi, Urdu","History, Sports","History, Marathi, Sports, Urdu","History, Sports","History, Sports","Hindi, History","Hindi, History","Hindi, Defence","Defence, Hindi","Urdu, English","Defence, English, Hindi, Urdu"
