Unique_ID,Marathi,Urdu,Hindi,English,History,Science,Geography,Drawing,Sports,Environmental Studies,Math,Computer,Interest
stud_1,87,14,24,84,87,15,15,64,69,1,61,60,"Marathi, English, History"
stud_2,3,98,70,36,98,54,33,14,77,76,86,14,"Urdu, History, Math"
stud_3,64,100,23,90,63,100,34,21,16,21,38,88,"Urdu, English, Science"
stud_4,66,70,24,91,10,18,70,100,19,100,65,71,"English, Drawing, Environmental Studies"
stud_5,79,79,74,13,38,31,61,83,57,21,34,4,"Marathi, Urdu, Drawing"
stud_6,85,99,56,89,60,83,71,89,50,91,68,89,"Urdu, Environmental Studies"
stud_7,25,81,87,91,95,44,42,20,69,68,71,62,"English, History"
stud_8,65,27,95,16,85,43,16,59,18,59,95,74,"Hindi, History, Math"
stud_9,58,45,32,40,43,61,64,87,20,41,86,7,"Drawing, Math"
stud_10,84,16,90,45,93,75,2,50,18,85,58,7,"Hindi, History"
stud_11,47,37,34,10,91,31,9,6,91,68,56,36,"History, Sports, Environmental Studies"
stud_12,50,37,34,13,83,68,77,85,47,32,42,55,"History, Drawing"
stud_13,50,32,86,99,52,5,63,95,85,32,13,17,"English, Drawing"
stud_14,47,83,66,63,60,8,26,89,37,99,89,94,"Environmental Studies, Computer"
stud_15,5,68,42,27,47,5,1,4,58,95,62,9,"Urdu, Environmental Studies"
stud_16,64,26,82,7,36,59,89,73,4,54,81,33,"Hindi, Geography"
stud_17,11,18,3,31,35,66,5,58,15,79,81,79,"Environmental Studies, Math, Computer"
stud_18,95,6,74,18,27,64,16,18,35,3,56,48,"Marathi, Hindi"
stud_19,70,66,32,36,84,5,4,65,45,50,94,50,"History, Math"
stud_20,98,80,64,92,26,12,12,98,3,41,97,48,"Marathi, Drawing, Math"
stud_21,48,92,87,45,55,16,90,3,44,97,4,80,"Urdu, Environmental Studies"
stud_22,51,11,92,94,62,67,23,17,2,4,42,31,"Hindi, English"
stud_23,82,41,18,72,15,4,88,77,11,8,55,91,"Geography, Computer"
stud_24,1,30,62,14,1,7,85,45,50,68,19,99,"Geography, Computer"
stud_25,27,50,73,22,55,84,34,44,48,32,58,1,"Hindi, Science"
stud_26,91,6,24,67,1,68,60,91,43,16,23,65,"Marathi, Science, Drawing"
stud_27,93,80,99,77,51,76,18,13,28,86,96,69,"Hindi, Math"
stud_28,97,95,16,79,61,75,32,66,75,20,82,57,"Marathi, Urdu"
stud_29,30,11,83,89,40,59,11,63,24,58,99,67,"English, Math"
stud_30,76,6,60,92,43,24,73,33,19,2,25,7,"Marathi, English"
stud_31,29,32,95,45,37,7,96,83,39,94,4,11,"Hindi, Geography"
stud_32,78,40,81,41,97,65,12,18,38,84,22,2,"History, Environmental Studies"
stud_33,92,70,26,100,67,3,9,85,30,26,70,66,"Marathi, English"
stud_34,12,62,22,57,42,86,84,42,92,46,87,84,"Sports, Math"
stud_35,100,84,16,30,29,96,40,5,41,37,52,40,"Marathi, Science"
stud_36,34,51,88,82,83,88,90,62,58,47,1,6,"Hindi, Science, Geography"
stud_37,42,94,16,50,15,80,78,89,53,53,30,44,"Urdu, Drawing"
stud_38,72,1,15,47,24,53,10,36,91,46,34,22,"Marathi, Sports"
stud_39,67,92,43,83,57,22,42,25,63,69,53,9,"Urdu, English"
stud_40,94,19,27,34,40,42,72,90,99,25,7,17,"Marathi, Sports"
stud_41,38,23,22,58,85,47,66,23,54,53,75,59,"History, Math"
stud_42,36,58,18,22,97,82,66,35,53,9,19,61,"History, Science"
stud_43,28,77,56,71,49,8,83,42,15,8,86,46,"Geography, Math"
stud_44,55,92,65,4,93,44,84,87,81,30,25,60,"Urdu, History"
stud_45,32,98,63,66,47,54,39,72,41,6,12,55,"Urdu, Drawing"
stud_46,56,84,79,3,28,94,51,92,86,77,14,68,"Science, Drawing"
stud_47,88,21,87,86,61,77,71,29,88,26,19,45,"Marathi, Hindi, Sports"
stud_48,46,86,99,64,21,45,19,90,84,87,72,41,"Hindi, Drawing"
stud_49,84,29,70,40,41,62,26,60,24,4,39,81,"Marathi, Computer"
stud_50,98,31,41,86,91,69,43,20,47,100,87,23,"Marathi, Environmental Studies"
stud_51,98,95,1,27,32,85,10,89,66,94,15,96,"Marathi, Computer"
stud_52,84,51,73,93,35,3,40,24,95,14,74,42,"English, Sports"
stud_53,70,87,39,11,3,60,72,55,22,43,34,72,"Urdu, Geography, Computer"
stud_54,34,67,61,77,16,47,60,16,97,94,75,75,"Sports, Environmental Studies"
stud_55,84,39,64,38,44,78,60,85,28,82,72,99,"Drawing, Computer"
stud_56,33,36,45,31,26,22,85,39,38,22,92,25,"Geography, Math"
stud_57,29,45,39,9,81,49,43,29,88,85,57,78,"Sports, Environmental Studies"
stud_58,41,66,38,82,64,30,15,86,88,12,61,76,"Drawing, Sports"
stud_59,98,29,23,68,87,43,100,99,35,40,43,76,"Geography, Drawing"
stud_60,73,31,52,68,86,44,100,49,76,59,22,98,"Geography, Computer"
stud_61,31,82,68,31,76,53,34,10,56,82,30,56,"Urdu, History, Environmental Studies"
stud_62,22,30,36,75,66,83,51,33,9,33,37,10,"English, Science"
stud_63,90,45,65,65,52,12,70,60,53,90,26,45,"Marathi, Geography, Environmental Studies"
stud_64,62,42,87,14,47,41,2,88,100,19,92,44,"Sports, Math"
stud_65,45,98,19,99,2,33,98,28,45,42,35,69,"Urdu, English, Geography"
stud_66,89,56,3,78,25,13,38,12,42,97,100,29,"Environmental Studies, Math"
stud_67,5,49,30,35,90,76,86,53,16,24,82,9,"History, Geography"
stud_68,67,34,38,15,11,89,9,68,25,5,60,86,"Science, Computer"
stud_69,1,34,85,46,49,87,62,2,93,78,51,70,"Science, Sports"
stud_70,23,18,12,46,75,4,91,65,18,64,62,37,"History, Geography"
stud_71,9,79,93,6,72,81,65,8,13,73,78,19,"Hindi, Science"
stud_72,7,95,35,7,59,42,36,18,75,97,68,71,"Urdu, Environmental Studies"
stud_73,60,26,57,90,29,29,56,59,57,46,97,27,"English, Math"
stud_74,63,4,71,1,83,20,81,81,90,95,8,4,"Sports, Environmental Studies"
stud_75,94,27,58,86,75,84,83,62,10,26,22,18,"Marathi, English"
stud_76,74,80,67,44,35,27,40,10,89,3,20,11,"Urdu, Sports"
stud_77,91,35,8,99,77,18,32,39,97,68,15,42,"English, Sports"
stud_78,75,66,98,61,27,8,47,76,13,51,77,17,"Hindi, Math"
stud_79,76,20,97,4,19,5,38,14,55,25,80,86,"Hindi, Computer"
stud_80,23,40,49,28,61,18,92,38,1,79,39,37,"Geography, Environmental Studies"
stud_81,98,67,68,7,77,68,35,18,28,50,18,52,"Marathi, History"
stud_82,43,13,17,45,66,58,97,51,61,53,44,73,"Geography, Computer"
stud_83,18,38,47,41,72,22,83,55,36,45,6,61,"History, Geography"
stud_84,44,25,11,56,47,19,47,76,80,9,25,53,"Drawing, Sports"
stud_85,44,60,74,51,24,84,41,87,77,25,35,71,"Science, Drawing"
stud_86,72,6,11,65,69,75,73,57,45,12,38,51,"Science, Geography"
stud_87,41,41,58,22,71,86,28,62,27,53,91,67,"Science, Math"
stud_88,86,65,32,33,27,6,55,74,31,55,96,50,"Marathi, Math"
stud_89,75,78,42,33,68,55,48,14,92,36,96,54,"Sports, Math"
stud_90,9,52,92,68,92,32,75,27,16,11,72,25,"Hindi, History, Geography"
stud_91,40,40,78,9,20,32,29,8,55,29,19,4,"Hindi, Sports"
stud_92,13,66,87,17,100,54,37,65,69,41,56,47,"Hindi, History"
stud_93,4,61,12,78,54,78,72,48,92,26,63,50,"English, Science, Sports"
stud_94,59,80,36,48,11,92,99,29,67,62,89,46,"Science, Geography"
stud_95,36,63,36,37,14,36,85,9,49,13,79,2,"Geography, Math"
stud_96,51,96,42,55,5,74,97,32,21,70,62,24,"Urdu, Geography"
stud_97,49,98,73,32,78,32,23,47,63,30,16,82,"Urdu, Computer"
stud_98,2,36,50,77,22,19,93,92,80,43,97,82,"Geography, Math"
stud_99,56,39,97,14,2,19,64,46,31,15,45,39,"Hindi, Geography"
stud_100,36,26,94,81,79,80,15,50,8,19,85,83,"Hindi, Math"
stud_101,48,82,80,53,100,65,65,22,83,49,15,4,"History, Sports"
stud_102,76,43,81,32,3,8,85,24,55,55,30,49,"Hindi, Geography"
stud_103,58,26,93,19,99,1,83,42,5,38,16,95,"History, Computer"
stud_104,27,32,100,31,71,37,54,49,97,96,95,98,"Hindi, Computer"
stud_105,61,99,40,97,90,48,84,89,39,33,13,55,"Urdu, English"
stud_106,14,41,46,85,19,64,50,91,57,60,23,23,"English, Drawing"
stud_107,61,27,16,18,9,22,1,70,58,36,27,54,"Marathi, Drawing"
stud_108,73,93,31,85,99,25,21,74,66,22,50,65,"Urdu, History"
stud_109,16,67,47,67,5,57,20,69,59,87,20,91,"Environmental Studies, Computer"
stud_110,25,3,18,37,57,40,58,96,56,12,92,37,"Drawing, Math"
stud_111,21,78,86,83,93,3,95,49,85,89,95,83,"History, Geography, Math"
stud_112,88,63,70,77,25,86,55,32,59,20,45,93,"Marathi, Computer"
stud_113,3,95,28,91,61,16,25,93,22,24,4,13,"Urdu, Drawing"
stud_114,8,64,88,2,12,40,38,77,67,11,69,80,"Hindi, Computer"
stud_115,57,31,73,4,65,90,7,84,54,99,57,10,"Science, Environmental Studies"
stud_116,12,30,45,21,50,98,3,27,55,84,21,82,"Science, Environmental Studies"
stud_117,56,63,37,28,93,57,2,71,65,90,25,81,"History, Environmental Studies"
stud_118,33,37,36,82,25,97,77,21,17,93,92,69,"Science, Environmental Studies"
stud_119,62,93,6,29,82,22,100,32,86,78,68,2,"Urdu, Geography"
stud_120,60,30,8,15,98,82,76,48,4,93,32,73,"History, Environmental Studies"
stud_121,13,98,86,36,5,47,78,21,88,22,72,67,"Urdu, Sports"
stud_122,17,69,95,76,31,87,16,93,64,47,4,84,"Hindi, Drawing"
stud_123,64,75,21,71,19,93,84,10,96,34,2,90,"Science, Sports"
stud_124,46,51,63,45,10,24,42,89,83,37,81,53,"Drawing, Sports"
stud_125,60,87,3,68,38,23,16,50,58,71,73,54,"Urdu, Math"
stud_126,57,11,28,68,94,57,8,69,70,10,17,21,"History, Sports"
stud_127,23,78,1,92,3,11,12,62,10,73,42,42,"Urdu, English"
stud_128,7,59,66,91,9,22,52,74,54,67,61,88,"English, Computer"
stud_129,20,6,37,66,62,45,21,79,41,68,32,34,"Drawing, Environmental Studies"
stud_130,58,72,15,82,14,56,40,26,94,4,90,59,"Sports, Math"
stud_131,31,17,10,63,3,96,60,55,90,41,46,11,"Science, Sports"
stud_132,23,20,23,5,67,46,100,16,52,15,57,57,"History, Geography"
stud_133,42,9,71,63,8,31,14,86,27,47,97,35,"Drawing, Math"
stud_134,25,4,82,61,73,31,54,64,77,75,88,81,"Hindi, Math"
stud_135,81,31,33,97,29,83,48,42,58,55,64,12,"English, Science"
stud_136,95,68,23,85,10,35,95,40,24,5,63,67,"Marathi, English, Geography"
stud_137,17,9,90,39,15,55,65,26,37,91,92,56,"Environmental Studies, Math"
stud_138,16,57,61,59,99,81,73,70,96,24,71,50,"History, Sports"
stud_139,66,54,93,46,9,78,23,98,66,35,82,31,"Hindi, Drawing"
stud_140,63,13,20,89,48,19,83,83,32,39,38,53,"English, Geography, Drawing"
stud_141,94,84,18,33,36,86,34,66,56,65,72,12,"Marathi, Science"
stud_142,51,77,49,88,46,1,4,73,28,46,57,32,"Urdu, English"
